,Adresse,lat,lon,Firmen,Telbuch
2,"Neuhofstrasse 5A, 6340 Baar", 47.1913654, 8.5144487,216,34
3,"Zugerstrasse 76B, 6340 Baar", 47.1832252, 8.518616999999999,181,29
4,"Alte Steinhauserstrasse 1, 6330 Cham", 47.1877443, 8.4737621,179,82
5,"Oberneuhofstrasse 5, 6340 Baar", 47.1890701, 8.5164049,178,31
6,"Rathausstrasse 14, 6340 Baar", 47.1951306, 8.5267313,160,24
7,"Bahnhofplatz , 6300 Zug", 47.1736681, 8.5153356,140,50
8,"Schochenmühlestrasse 4, 6340 Baar", 47.1911305, 8.512509,131,16
9,"Haldenstrasse 1, 6340 Baar", 47.1960905, 8.5369929,122,44
10,"Bahnhofstrasse 9, 6340 Baar", 47.1953853, 8.524350499999999,103,33
11,"Industriestrasse 3, 6345 Neuheim", 47.2024547, 8.576511199999999,100,22
12,"Dammstrasse 16, 6300 Zug", 47.1757614, 8.5147694,92,3
13,"Oberneuhofstrasse 3, 6340 Baar", 47.1888224, 8.5156866,91,14
14,"Blegistrasse 1, 6343 Rotkreuz", 47.1481083, 8.4362768,86,37
15,"Riedstrasse 7, 6330 Cham", 47.1892911, 8.4768516,82,12
16,"Bösch 80A, 6331 Hünenberg", 47.1613561, 8.4347469,74,18
17,"Oberneuhofstrasse 6, 6340 Baar", 47.1882543, 8.515461799999999,73,19
18,"Lättichstrasse 6, 6340 Baar", 47.1998574, 8.538978199999999,73,26
19,"Ruessenstrasse 6, 6340 Baar", 47.2119062, 8.560584,70,9
20,"Lettenstrasse 7, 6343 Rotkreuz", 47.1467671, 8.4318194,69,25
21,"Grundstrasse 22A, 6343 Rotkreuz", 47.1465021, 8.430205899999999,69,18
22,"Blegistrasse 5, 6340 Baar", 47.2159772, 8.5714568,67,9
23,"Chamerstrasse 42A, 6331 Hünenberg", 47.178458, 8.430798099999999,67,15
24,"Blegistrasse 11B, 6340 Baar", 47.21575379999999, 8.5703487,64,13
25,"Seestrasse 1, 6330 Cham", 47.1805597, 8.460221299999999,62,22
26,"Gewerbestrasse 6, 6330 Cham", 47.1889511, 8.4731626,62,18
27,"Riedstrasse 1, 6343 Rotkreuz", 47.14709819999999, 8.429193399999999,62,34
28,"Ibelweg 18A, 6300 Zug", 47.1807393, 8.524845599999999,60,23
29,"Riedstrasse 1, 6330 Cham", 47.1893327, 8.475259099999999,58,49
30,"Klostermatt 4, 6330 Cham", 47.1805577, 8.4489552,54,9
31,"Lindenstrasse 2, 6340 Baar", 47.18441809999999, 8.5181583,54,16
32,"Fabrikstrasse 5, 6330 Cham", 47.1847147, 8.4580561,51,15
33,"Gewerbestrasse 7, 6330 Cham", 47.1883642, 8.4727984,50,13
34,"Seeblick 1, 6330 Cham", 47.1816492, 8.4665926,49,56
35,"Ruessenstrasse 5, 6340 Baar", 47.212502, 8.5633269,48,28
36,"Lettenstrasse 9, 6343 Rotkreuz", 47.146771, 8.4315454,47,18
37,"Luzernerstrasse 1, 6343 Rotkreuz", 47.1409457, 8.428142,45,36
38,"Rathausstrasse 7, 6340 Baar", 47.195167, 8.5257887,45,14
39,"Grundstrasse 6, 6343 Rotkreuz", 47.1452532, 8.4300344,44,9
40,"Hammergut 6, 6330 Cham", 47.18793240000001, 8.4522316,44,17
42,"Blegistrasse 3, 6340 Baar", 47.2162108, 8.5722375,42,15
43,"Schochenmühlestrasse 2, 6340 Baar", 47.1916267, 8.5119762,42,9
44,"Lindenstrasse 4, 6340 Baar", 47.1843865, 8.5177284,41,11
45,"Zugerstrasse 6, 6330 Cham", 47.1812626, 8.4600777,40,37
46,"Zugerstrasse 1, 6330 Cham", 47.181569, 8.4593973,37,78
47,"Rosenweg 3, 6340 Baar", 47.18566939999999, 8.5221149,36,4
48,"Baarermattstrasse 6, 6340 Baar", 47.1810419, 8.5257548,35,8
49,"Schochenmühlestrasse 6, 6340 Baar", 47.1924273, 8.5123236,35,9
